class,clock,entityId,eventId,eventTime,eventType,options,periodId,personId,playId,sequence,subType,success,timestamp
sport,PT5M32S,fea93a14-3952-11ef-a7e0-af5c55c3771d,38139f0a-db8d-15e3-a1a3-58a859c61712,2023-08-24T17:35:32.1,goal,"{'attackType': 'BREAK_THROUGH', 'emptyNet': True, 'location': 'LEFT'}",2,fe9fc8c6-3954-11ef-b8d2-0d6c0b831129,38139f0a-db8d-15e3-a1a3-58a859c61712,200,sixMetre,True,2023-08-24T17:35:32.1
sport,PT5M33S,fe8d1885-3952-11ef-9130-af5c55c3771d,860632a7-58a7-120e-801c-f12c99541ea8,2023-08-24T17:35:33.1,goalKeeperChange,{'emptyNet': False},2,e834a72e-3954-11ef-8893-0119270b4993,860632a7-58a7-120e-801c-f12c99541ea8,201,,,2023-08-24T17:35:33.1
clock,PT5M34S,,101f9f8b-7158-1797-81c9-9cb9a60e2dd9,2023-08-24T17:35:34.1,main,,2,,,202,stop,,2023-08-24T17:35:34.1
clock,PT5M34S,,94633c68-a62e-17d7-aca6-9d00a8ae658b,2023-08-24T17:35:34.2,main,,2,,,203,start,,2023-08-24T17:35:34.2
sport,PT5M39S,fe8d1885-3952-11ef-9130-af5c55c3771d,4976e688-7a6d-14a0-8c40-2564cebcfe6b,2023-08-24T17:35:39.1,goal,"{'emptyNet': False, 'failureReason': 'SHOT_BLOCKED', 'goalKeeperId': '44b187b6-3953-11ef-9e2b-855e48b08f9c', 'location': 'CENTRE'}",2,0e7ef9b9-3956-11ef-82c8-63392ed267d4,4976e688-7a6d-14a0-8c40-2564cebcfe6b,204,nineMetre,False,2023-08-24T17:35:39.1
sport,PT5M39S,fea93a14-3952-11ef-a7e0-af5c55c3771d,b6a9c295-663d-11a2-a122-8880099ba6cd,2023-08-24T17:35:39.2,block,,2,475802bc-3953-11ef-b101-855e48b08f9c,4976e688-7a6d-14a0-8c40-2564cebcfe6b,205,,True,2023-08-24T17:35:39.2
sport,PT5M47S,fe8d1885-3952-11ef-9130-af5c55c3771d,81c498df-ac70-111d-a542-949a9ce99b1d,2023-08-24T17:35:47.1,goal,"{'attackType': 'PIVOT', 'emptyNet': False, 'goalKeeperId': '44b187b6-3953-11ef-9e2b-855e48b08f9c', 'location': 'CENTRE'}",2,e9161b82-3954-11ef-af2c-0119270b4993,81c498df-ac70-111d-a542-949a9ce99b1d,206,sixMetre,True,2023-08-24T17:35:47.1
sport,PT5M47S,fe8d1885-3952-11ef-9130-af5c55c3771d,07870bfb-773f-151d-a87b-5f0e43a27d21,2023-08-24T17:35:47.2,assist,,2,458c7c77-3953-11ef-b1d0-855e48b08f9c,81c498df-ac70-111d-a542-949a9ce99b1d,207,,True,2023-08-24T17:35:47.2
sport,PT6M8S,fea93a14-3952-11ef-a7e0-af5c55c3771d,c1b7209c-7788-1526-8004-cc83c0753729,2023-08-24T17:36:08.1,goal,"{'attackType': 'BREAK_THROUGH', 'emptyNet': False, 'failureReason': 'SAVE', 'goalKeeperId': 'e834a72e-3954-11ef-8893-0119270b4993', 'location': 'CENTRE'}",2,475802bc-3953-11ef-b101-855e48b08f9c,c1b7209c-7788-1526-8004-cc83c0753729,208,sixMetre,False,2023-08-24T17:36:08.1
sport,PT6M12S,fea93a14-3952-11ef-a7e0-af5c55c3771d,9c166cab-60f6-1cc0-94f3-a58fe735311b,2023-08-24T17:36:12.1,suspension,,2,4471a641-3953-11ef-8b14-855e48b08f9c,9c166cab-60f6-1cc0-94f3-a58fe735311b,209,twoMinutes,,2023-08-24T17:36:12.1
